Value,Count,L1N,L1_DESC,L2N,L2_DESC,L3N,L3_DESC,L4N,L4_DESC
-1,168822267,-1,Offshore,-1,Offshore,-1,Offshore,-1,Offshore
0,142763,0,No data/unresolved,0,No data/unresolved,0,No data/unresolved,0,No data/unresolved
1001,23091313,1,Freehold,10,Freehold,100,Freehold,1001,Freehold
1002,14821585,1,Freehold,10,Freehold,100,Freehold,1002,Freehold - Indigenous
2111,315257,2,Crown land,21,Leasehold,211,Freeholding lease,2111,Freeholding lease
2121,13625314,2,Crown land,21,Leasehold,212,Pastoral perpetual lease,2121,Pastoral perpetual lease
2122,33767,2,Crown land,21,Leasehold,212,Pastoral perpetual lease,2122,Pastoral perpetual lease - Indigenous
2131,3124401,2,Crown land,21,Leasehold,213,Other perpetual lease,2131,Other perpetual lease
2132,17023,2,Crown land,21,Leasehold,213,Other perpetual lease,2132,Other perpetual lease - Indigenous
2141,33820003,2,Crown land,21,Leasehold,214,Pastoral term lease,2141,Pastoral term lease
2142,275853,2,Crown land,21,Leasehold,214,Pastoral term lease,2142,Pastoral term lease  - Indigenous
2151,514065,2,Crown land,21,Leasehold,215,Other term lease,2151,Other term lease
2152,4789,2,Crown land,21,Leasehold,215,Other term lease,2152,Other term lease - Indigenous
2161,355427,2,Crown land,21,Leasehold,216,Other lease,2161,Other lease
2162,904838,2,Crown land,21,Leasehold,216,Other lease,2162,Other lease - Indigenous
2211,9252673,2,Crown land,22,Crown purposes,221,Nature conservation reserve,2211,Nature conservation reserve
2212,292475,2,Crown land,22,Crown purposes,221,Nature conservation reserve,2212,Nature conservation reserve - Indigenous
2221,1784884,2,Crown land,22,Crown purposes,222,Multiple-use public forest,2221,Multiple-use public forest
2231,1435306,2,Crown land,22,Crown purposes,223,Other Crown purposes,2231,Other Crown purposes
2232,3209663,2,Crown land,22,Crown purposes,223,Other Crown purposes,2232,Other Crown purposes - Indigenous
2301,16109116,2,Crown land,23,Other Crown land,230,Other Crown land,2301,Other Crown land
2302,7695,2,Crown land,23,Other Crown land,230,Other Crown land,2302,Other Crown land - Indigenous
